navTimeText,navTimeUtc,latDeg,lonDeg,altM,matchedMagTimeMs,matchedMagTimeUtc,Bx_mGs,By_mGs,Bz_mGs,Bnorm_mGs,syncErrorMs
25-04-2025 20:09:02:491,2025-04-25 20:09:02,81.517297,67.883201,478083.71875,1745611742495,2025-04-25 20:09:02,-324.7062,118.4079,-63.72054,351.446801548601,4
25-04-2025 20:09:22:491,2025-04-25 20:09:22,80.816403,60.870011,477556.5,1745611762495,2025-04-25 20:09:22,-321.28824,-21.48432,-261.47394,414.796733915883,4
25-04-2025 20:09:42:491,2025-04-25 20:09:42,80.003051,54.903933,477003.5625,1745611782495,2025-04-25 20:09:42,-208.25142,-87.8904,-424.8036,481.197958138993,4
25-04-2025 20:10:02:491,2025-04-25 20:10:02,79.105817,49.874758,476427.5625,1745611802494,2025-04-25 20:10:02,-71.04474,-28.80852,-516.60024,522.257689148102,3
25-04-2025 20:10:22:491,2025-04-25 20:10:22,78.141701,45.61578,475827.125,1745611822494,2025-04-25 20:10:22,21.48432,114.50166,-519.52992,532.431727007158,3
25-04-2025 20:10:42:491,2025-04-25 20:10:42,77.118027,41.967302,475198.15625,1745611842494,2025-04-25 20:10:42,58.10532,269.7747,-432.37194,512.932852790456,3
25-04-2025 20:11:02:491,2025-04-25 20:11:02,76.059948,38.862998,474549.8125,1745611862493,2025-04-25 20:11:02,55.66392,379.39356,-273.68094,471.104237168934,2
25-04-2025 20:11:22:491,2025-04-25 20:11:22,74.967227,36.177139,473877.34375,1745611882493,2025-04-25 20:11:22,25.6347,410.39934,-83.49588,419.590655393444,2
25-04-2025 20:11:32:491,2025-04-25 20:11:32,74.410779,34.968987,473532.78125,1745611892493,2025-04-25 20:11:32,9.27732,394.04196,9.27732,394.260324624995,2
25-04-2025 20:11:52:491,2025-04-25 20:11:52,73.279891,32.779656,472826.9375,1745611912492,2025-04-25 20:11:52,-25.14642,302.48946,169.18902,347.501281060183,1
