navTimeText,navTimeUtc,latDeg,lonDeg,altM,matchedMagTimeMs,matchedMagTimeUtc,Bx_mGs,By_mGs,Bz_mGs,Bnorm_mGs,syncErrorMs
25-04-2025 12:14:32:521,2025-04-25 12:14:32,79.255036,-96.104668,481581.34375,1745583272517,2025-04-25 12:14:32,-317.62614,-5.61522,-55.17564,322.431770699411,4
25-04-2025 12:14:42:521,2025-04-25 12:14:42,79.707584,-98.581411,481451.59375,1745583282516,2025-04-25 12:14:42,-344.72568,13.91598,-69.82404,352.001201010372,5
25-04-2025 12:15:02:521,2025-04-25 12:15:02,80.547697,-104.180636,481172.4375,1745583302516,2025-04-25 12:15:02,-335.20422,-11.47458,-104.00364,351.155652418175,5
25-04-2025 12:15:22:521,2025-04-25 12:15:22,81.288561,-110.801863,480864.5625,1745583322516,2025-04-25 12:15:22,-331.78626,5.37108,-99.60912,346.457714032071,5
25-04-2025 12:15:32:521,2025-04-25 12:15:32,81.611629,-114.516652,480700.34375,1745583332516,2025-04-25 12:15:32,-308.8371,18.06636,-38.81826,311.790963643091,5
25-04-2025 12:15:52:521,2025-04-25 12:15:52,82.14355,-122.753498,480351.53125,1745583352525,2025-04-25 12:15:52,-343.0167,-25.39056,-97.656,357.549760665566,4
25-04-2025 12:16:02:521,2025-04-25 12:16:02,82.346434,-127.291217,480165.09375,1745583362525,2025-04-25 12:16:02,-314.9406,0,-84.96072,326.199180672298,4
25-04-2025 12:16:12:521,2025-04-25 12:16:12,82.499533,-132.008705,479973.03125,1745583372525,2025-04-25 12:16:12,-344.96982,-8.5449,-108.39816,361.700640196044,4
25-04-2025 12:16:32:521,2025-04-25 12:16:32,82.649865,-141.85374,479568.71875,1745583392524,2025-04-25 12:16:32,-322.99722,-13.18356,-61.27914,329.023013452162,3
25-04-2025 12:16:52:521,2025-04-25 12:16:52,82.584726,-151.778032,479138.59375,1745583412524,2025-04-25 12:16:52,-349.36434,-5.12694,-64.45296,355.296934450835,3
25-04-2025 12:17:02:521,2025-04-25 12:17:02,82.472472,-156.614872,478913.09375,1745583422524,2025-04-25 12:17:02,-339.11046,-3.90624,-122.55828,360.599077631804,3
25-04-2025 12:17:12:521,2025-04-25 12:17:12,82.307734,-161.331459,478678.28125,1745583432524,2025-04-25 12:17:12,-348.14364,-6.1035,-114.25752,366.464224258317,3
25-04-2025 12:17:32:521,2025-04-25 12:17:32,81.842291,-169.987344,478193.03125,1745583452523,2025-04-25 12:17:32,-359.12994,-3.17382,-117.91962,378.007174163058,2
25-04-2025 12:17:52:521,2025-04-25 12:17:52,81.217247,-177.584659,477681.0625,1745583472523,2025-04-25 12:17:52,-345.70224,9.03318,-103.51536,360.98070147566,2
25-04-2025 12:18:02:521,2025-04-25 12:18:02,80.855554,179.033014,477415.8125,1745583482523,2025-04-25 12:18:02,-333.2511,30.5175,-79.58964,343.979831171523,2
25-04-2025 12:18:22:521,2025-04-25 12:18:22,80.051607,173.043293,476866.71875,1745583502523,2025-04-25 12:18:22,-359.61822,6.1035,-123.53484,380.293799005511,2
25-04-2025 12:18:32:521,2025-04-25 12:18:32,79.610315,170.373086,476579.53125,1745583512523,2025-04-25 12:18:32,-344.72568,14.16012,-122.07,365.97457336525,2
25-04-2025 12:18:52:521,2025-04-25 12:18:52,78.681669,165.709897,475992.75,1745583532522,2025-04-25 12:18:52,-326.65932,36.37686,-59.8143,334.076844110471,1
25-04-2025 12:19:02:521,2025-04-25 12:19:02,78.192914,163.647016,475689.5625,1745583542522,2025-04-25 12:19:02,-342.52842,10.74216,-107.4216,359.138570270198,1
25-04-2025 12:19:12:521,2025-04-25 12:19:12,77.68998,161.740983,475379.78125,1745583552522,2025-04-25 12:19:12,-349.60848,40.03896,-86.42556,362.35146615835,1
25-04-2025 12:19:32:521,2025-04-25 12:19:32,76.648636,158.346748,474741.375,1745583572522,2025-04-25 12:19:32,-331.29798,21.24018,-111.81612,350.303213645503,1
25-04-2025 12:19:42:521,2025-04-25 12:19:42,76.116974,156.844106,474415.5625,1745583582521,2025-04-25 12:19:42,-351.80574,34.1796,-125.7321,375.158746030954,0
25-04-2025 12:20:02:521,2025-04-25 12:20:02,75.02191,154.128956,473741.96875,1745583602521,2025-04-25 12:20:02,-358.39752,17.33394,-112.54854,376.05374838473,0
25-04-2025 12:20:22:521,2025-04-25 12:20:22,73.906,151.778961,473049.78125,1745583622520,2025-04-25 12:20:22,-337.15734,30.02922,-149.90196,370.199167451151,1
25-04-2025 12:20:32:521,2025-04-25 12:20:32,73.340645,150.717044,472696.25,1745583632521,2025-04-25 12:20:32,-360.59478,3.41796,-155.76132,392.812762804307,0
25-04-2025 12:20:42:521,2025-04-25 12:20:42,72.768289,149.71664,472336.1875,1745583642520,2025-04-25 12:20:42,-328.85658,43.21278,-138.42738,359.410815221647,1
25-04-2025 12:21:02:521,2025-04-25 12:21:02,71.609684,147.888485,471600.125,1745583662520,2025-04-25 12:21:02,-334.22766,63.72054,-115.23408,359.231581463008,1
25-04-2025 12:21:22:521,2025-04-25 12:21:22,70.440697,146.266466,470847.34375,1745583682519,2025-04-25 12:21:22,-343.26084,42.23622,-132.07974,370.212047718414,2
25-04-2025 12:21:42:521,2025-04-25 12:21:42,69.254901,144.806431,470073.15625,1745583702519,2025-04-25 12:21:42,-349.1202,22.94916,-133.30044,374.40697816272,2
25-04-2025 12:21:52:521,2025-04-25 12:21:52,68.660695,144.134313,469681.25,1745583712520,2025-04-25 12:21:52,-330.07728,35.4003,-156.00546,366.799530482388,1
25-04-2025 12:22:12:521,2025-04-25 12:22:12,67.467284,142.887161,468886.25,1745583732519,2025-04-25 12:22:12,-321.0441,43.45692,-126.46452,347.780236441818,2
25-04-2025 12:22:22:521,2025-04-25 12:22:22,66.863604,142.302688,468480.25,1745583742519,2025-04-25 12:22:22,-330.56556,42.7245,-168.70074,373.575845090272,2
25-04-2025 12:22:42:521,2025-04-25 12:22:42,65.65184,141.21106,467657.78125,1745583762519,2025-04-25 12:22:42,-322.50894,38.32998,-138.42738,353.0486415218,2
25-04-2025 12:22:52:521,2025-04-25 12:22:52,65.047108,140.702785,467243.75,1745583772518,2025-04-25 12:22:52,-318.35856,37.35342,-132.32388,346.780997070521,3
25-04-2025 12:23:12:521,2025-04-25 12:23:12,63.828241,139.743061,466402.46875,1745583792518,2025-04-25 12:23:12,-333.00696,36.86514,-205.56588,393.077606810456,3
25-04-2025 12:23:22:521,2025-04-25 12:23:22,63.219227,139.292815,465978.96875,1745583802517,2025-04-25 12:23:22,-318.6027,80.81034,-164.55036,367.579668200426,4
25-04-2025 12:23:42:521,2025-04-25 12:23:42,61.986364,138.434219,465115.71875,1745583822517,2025-04-25 12:23:42,-348.38778,58.83774,-223.87638,418.278087429333,4
25-04-2025 12:23:52:521,2025-04-25 12:23:52,61.371285,138.029927,464682.375,1745583832517,2025-04-25 12:23:52,-325.19448,27.34368,-213.86664,390.176968007214,4
25-04-2025 12:24:12:521,2025-04-25 12:24:12,60.140403,137.26373,463810.375,1745583852517,2025-04-25 12:24:12,-308.34882,52.4901,-187.49952,364.678317690582,4
